categoría,término,apariciones
Música,misa,320
Música,músic*,23
Música,música,19
Música,cantó,19
Música,canto,19
Voz y rumor,rumor,19
Sonido y ruido,campana,17
Sonido y ruido,artillería,15
Metáfora musical (candidatas),concierto,13
Voz y rumor,rumores,12
Sonido y ruido,salva,10
Sonido y ruido,silencio,9
Sonido y ruido,disparó,9
Sonido y ruido,disparo,9
Música,ministril,8
Música,ministriles,8
Música,Te Deum,8
Sonido y ruido,arcabuces,8
Música,trompeta,7
Música,órgano,7
Música,atabal,6
Música,romance,5
Sonido y ruido,tiro,5
Sonido y ruido,disparos,5
Música,canto de órgano,4
Música,responso,4
Sonido y ruido,pólvora,4
Música,letanía,3
Sonido y ruido,salvas,3
Sonido y ruido,arcabuz,3
Sonido y ruido,pregón,3
Metáfora musical (candidatas),concertó,3
Metáfora musical (candidatas),desconcierto,3
Música,sonando,2
Música,chirimía,2
Música,tambor,2
Música,cantor,2
Música,cantores,2
Música,copla,2
Música,cantaron,2
Sonido y ruido,aclam*,2
Sonido y ruido,pregonar,2
Metáfora musical (candidatas),concertar,2
Música,sonó,1
Música,timbal,1
Música,arpa,1
Música,vihuela,1
Música,laúd,1
Música,coro,1
Música,canto llano,1
Música,salve,1
Música,coplas,1
Música,cantar,1
Música,cantos,1
Música,tañen,1
Música,tañendo,1
Sonido y ruido,campanas,1
Sonido y ruido,campanario,1
Sonido y ruido,tiros,1
Sonido y ruido,traca,1
Sonido y ruido,clamor,1
Sonido y ruido,bullicio,1
Sonido y ruido,estrépito,1
Sonido y ruido,pregones,1
Sonido y ruido,pregonó,1
Sonido y ruido,disparar,1
Sonido y ruido,dispararon,1
Voz y rumor,al oído,1
Metáfora musical (candidatas),conciertos,1
Metáfora musical (candidatas),concertado,1
Metáfora musical (candidatas),consonancia,1
Metáfora musical (candidatas),armonía,1
Metáfora musical (candidatas),acorde,1
Música,sonar,0
Música,sonaron,0
Música,sonaba,0
Música,sacabuche,0
Música,bajón,0
Música,corneta,0
Música,clarín,0
Música,atambor,0
Música,pífano,0
Música,dulzaina,0
Música,tamboril,0
Música,gaita,0
Música,guitarra,0
Música,organista,0
Música,capilla de música,0
Música,maestro de capilla,0
Música,coros,0
Música,seises,0
Música,villancico,0
Música,motete,0
Música,canción,0
Música,tedeum,0
Música,himno,0
Música,tonada,0
Música,folía,0
Música,chacona,0
Música,zarabanda,0
Música,seguidilla,0
Música,cantando,0
Música,cantaban,0
Música,cantan,0
Música,entonar,0
Música,entonó,0
Música,entonaron,0
Música,tañer,0
Música,tañó,0
Música,tañía,0
Música,tañían,0
Música,tañido,0
Música,tañidos,0
Música,tocar música,0
Música,tocaron,0
Sonido y ruido,campanas al vuelo,0
Sonido y ruido,repic*,0
Sonido y ruido,esquila,0
Sonido y ruido,esquilas,0
Sonido y ruido,tañido de campanas,0
Sonido y ruido,arcabucería,0
Sonido y ruido,mosquete,0
Sonido y ruido,mosquetería,0
Sonido y ruido,cañonazo,0
Sonido y ruido,cañonazos,0
Sonido y ruido,cohete,0
Sonido y ruido,cohetes,0
Sonido y ruido,petardo,0
Sonido y ruido,morterete,0
Sonido y ruido,morteretes,0
Sonido y ruido,bombarda,0
Sonido y ruido,estruendo,0
Sonido y ruido,estampido,0
Sonido y ruido,algazara,0
Sonido y ruido,vocería,0
Sonido y ruido,vítor,0
Sonido y ruido,vítores,0
Sonido y ruido,gritos,0
Sonido y ruido,grita,0
Sonido y ruido,alarido,0
Sonido y ruido,alaridos,0
Voz y rumor,murmurar,0
Voz y rumor,murmuró,0
Voz y rumor,murmuraban,0
Voz y rumor,murmuración,0
Voz y rumor,murmullo,0
Voz y rumor,murmullos,0
Metáfora musical (candidatas),concertaron,0
Metáfora musical (candidatas),concertada,0
Metáfora musical (candidatas),concertados,0
Metáfora musical (candidatas),templar,0
Metáfora musical (candidatas),templó,0
Metáfora musical (candidatas),destemplar,0
Metáfora musical (candidatas),destemplado,0
Metáfora musical (candidatas),destemplada,0
Metáfora musical (candidatas),armónico,0
Metáfora musical (candidatas),armoniosa,0
Metáfora musical (candidatas),armonioso,0
