id,pagina,termino,ambito,nivel_rostagno,postura_oyente,cualificadores,magnitud,instrumentos_nombrados,generos_piezas,escucha_explicita,cita
1,53,capilla,sacro / litúrgico,símbolo,registro,,,,,,"Desta suerte fueron acia el altar y capilla de s[an]t Vencislao a sacar de allí las reliquias de los sanctos, y traer al > **[nota marginal]** 1562 `[p"
2,54,capilla,sacro / litúrgico,símbolo,registro,,,,,,"54]` [or varo” P Mx serenissimo Maximiliano, que poco antes auía llegado allí acompañado de vna mulu tud de nobles de Bohemia, y en la misma capilla el camarero mayor del reyno auiéndole desnudado el vestido que trajo desde palacio, le vistió los ornamentos reales"
3,54,capilla,sacro / litúrgico,símbolo,registro,,,,,,"Al salir de la capilla el argobispo dixo sobre su maglesta]d vna oración que comienga assí, «Omnipotens sempiterne Deus, quí famulum tuum Maximilianum regni fastigio dignatus es sublimare, etz[éter]a»"
4,54,choro,sacro / litúrgico,símbolo,registro,,,,,,"Desde alli se fue al choro, yendo detrás de todo el clero el argobispo, luego que llegaron los primeros que 1uan en procesión a las puertas del coro, començó la música y capilla de cantores"
5,54,antiphona,sacro / litúrgico,símbolo,valoración estética,suauemente,,,antiphona,,"a entonar suauemente aquella antiphona que dize «Ecce mitto angelum mecem qui praecedat, etz[éterla»"
6,54,chirimías,sacro / litúrgico,símbolo,valoración estética,suauidad,"grande, muchos","chirimías, trompetas",,,"Pero quando llegó a medio de la yglesia el que lleuaua la corona, tocaron todas las chirimías y trompetas, y otros muchos instrumentos músicos con grande suauidad y har- monia, dejadas las reliquias en el altar, los sacerdotes tomaron maron las demás INSIRNIAS rea- les y tas pusieron en la mesa o aparador que está de respecto para scruir al altar Excepto E dos panes y vasos de vino que eran para ofrenda, los quales se pusieron en la mesa que dias estaua puesta delante del estrado del argobispo"
7,54,música,sacro / litúrgico,símbolo,registro,,,,letanías,,"Diario DE HANS KMEVENMOLLER Puesto su maglesta]d en la tarima començó la música y cantores a dezir las letanías, y quando llegaron a cantar aquellas palabras que dizen «vt obsequium seruitutis nostre tibi rationabile facias"
8,54,choro,sacro / litúrgico,símbolo,registro,,,,,sí,"Calló el choro y música y el argobispo según el ceremonial que está para este efecto ordenado, echo tres vezes la bendición a su mag[esta]d y con oraciones a propósito rogó a Dios por su salud y aumento, y por la felicidad de sus reynos y a cada bendición y oración respondía la música y choro «te rogamus audi nos»"
9,54,letanías,sacro / litúrgico,símbolo,registro,,,,letanías,,"Acabadas las letanías los obispos lleuaron a su maglesta]d al estrado y dosel que le estaua aparejado en medio el choro con dosel pendiente del techo, todo él era bordado y matizado de oro y los paños y almoadas de sus gradas eran de lo mismo, algo pro- [p"
10,55,cantores,sacro / litúrgico,símbolo,valoración estética,"esmerándose, mucha arte, suauidad","mucha, mucho",órganos,misa,,"Comencóse a dezir la misa que fue de la trinidad, esmerándose mucho los cantores y músicos de la capilla real en tocar los instrumentos y órganos con mucha arte y suauidad"
11,55,música,sacro / litúrgico,símbolo,registro,,,,,sí,"Autendo callado la música, los obispos lleuaron a su maglesta)d al altar, y puesto delante, el arçobispo dixo sobre él dos oraciones harto largas leiéndolas en a ceremonial y echando la bendición al rey La tercera oración dixeron los obispos"
12,56,trompetas,sacro / litúrgico,símbolo,registro,,,"chirimías, trompetas",,,"Entre tanto tocauan a concierto las trompetas, chirimías y otros instrumentos músicos"
13,56,hymno,sacro / litúrgico,símbolo,valoración estética,suauidad,"grande, mucha",,"hymno, te deum",sí,"Acabado esto, el arçobispo començó el hymno Te Deum Laudamus, que prosiguió l la música ay choro con mucha suauidad de voces y con- ¡rmonia, ¡Ens ¡VETSOS | pasaxes y sostenidos para que < duras má más, porque E e burgrauio, a a quien le toc le tocaua caua por razón y de su oficio, se llego adonde estaua el rey con A grande Télerencia, puso si puso su mano sobre corona del rey y en alta voz juró de obedezérle, y nouifico a los estados del reyno que hiziessen lo mismo, lo qual ellos hizieron con mucha alegría, y tocando la corona en nombre de todo el reino juraron de obedezer al nuevo rey, fueron en número casi ochenta"
14,56,trompetas,sacro / litúrgico,símbolo,ponderación de magnitud,,todo genero,"chirimias, trompetas",misa,,"Acabada la misa boluieron a tocar las trompetas y chirimias de todo genero, principalmente las que ganauan gajes y estauan en la torre más alta del castillo, y las piezas y arullería que estauan en los baluartes y torres de la ciudad a vn mismo tiempo se dispararon en señal de regozijo"
15,56,capilla,sacro / litúrgico,símbolo,registro,,,,,,Salió la reyna de la capilla de s[an]t Vencislao con la misma pompa y acompañamiento que el día antes salió el rey
16,57,choro,sacro / litúrgico,símbolo,registro,,,,,,"57] yor, la abadesa de s[an]t Gorje y todas las damas de la corte, exceptas la duquesa de Bauicra, princesa de Bohemia y princesa Isabela, las quales tenían sendas sillas colaterales del choro, aderezadas y colgadas"
