id,página,difunto/evento (probable),tipo,términos,voz,1ª persona,motivo clasif.,cita / contexto
1,335,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,"De su enraizamiento en España, a la muerte de Felipe II (15911598)"
2,335,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,de las grandezas de España a la muerte de la
3,335,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,"El papeleo que hay antes de la muerte, y que se reconoce después"
4,335,(general / otros),ceremonia,cadáver,diario,,cuerpo del diario,El inventario de los bienes (I) con su cadáver presente
5,335,(general / otros),ceremonia,cadáver,diario,,cuerpo del diario,un cadáver viajero
6,13,Emperador/triz (?),ceremonia,difunto,diario,,cuerpo del diario,mi amado y difunto padre el señor Cristóbal Khevenhüller de Aichberg y
7,17,Emperador/triz (?),ceremonia,difunto,diario,,cuerpo del diario,extracto sacado de diversos escritos de mi amado y difunto padre el señor Cristóbal Khevenhüller de
8,20,(general / otros),ceremonia,entierro,diario,,cuerpo del diario,entierro en la iglesia de San
9,20,(general / otros),ceremonia,túmulo,diario,,cuerpo del diario,un túmulo y mausoleo en los Jerónimos de Madrid
10,20,(general / otros),ceremonia,cadáver,diario,,cuerpo del diario,cadáver y depósito en esta iglesia
11,28,Carlos V,muerte,muerte,diario,,cuerpo del diario,«La propia muerte del Conde de Luna
12,28,Felipe II (†1598),muerte,murió,diario,,cuerpo del diario,Murió Luna el 12 de
13,28,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,a Felipe II de la muerte del embajador se hizo cargo Maximiliano [II]
14,28,Felipe II (†1598),ceremonia,pésame,diario,,cuerpo del diario,"lo largo de todo el año, el envío de una embajada de pésame, o a su vez"
15,28,Felipe II (†1598),ceremonia,"condolencia, condolencias",diario,,cuerpo del diario,"las contestaciones a las condolencias, ocuparon el quehacer de las secretarías de Estado o las cancillerías"
16,29,Felipe II (†1598),ceremonia,"muerte, pésame",diario,,cuerpo del diario,"Y, en fin, para dar el pésame por la muerte de Luna, se mandó (1564-1565)"
17,29,(general / otros),ceremonia,pésame,diario,,cuerpo del diario,pésame y de la instrucción de su embajada es de septiembre de 1564
18,31,Felipe II (†1598),muerte,murió,diario,,cuerpo del diario,"cargo, lo consiguió finalmente y en una nueva misión mandada por Felipe II, murió el 13 de febrero de 1571"
19,32,Emperador Maximiliano II (†1576),muerte,muerte,diario,,cuerpo del diario,"cualquier caso, hasta en el lecho de muerte la actitud de Maximiliano II"
20,32,Felipe II (†1598),muerte,murió,diario,,cuerpo del diario,murió Enrique IV de Castilla
21,32,Felipe II (†1598),muerte,murió,diario,,cuerpo del diario,"desde Ratisbona, donde murió, llevaban la lacónica apostilla «si les parece que el Rey [Felipe II] la vea, en buena hora, y si no rómpanla»"
22,32,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,"no saber qué hacer al llegar las noticas de la muerte de Maximiliano, así"
23,33,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,"Para cumplimentar a Rodolfo II por la muerte de su padre, mandó"
24,37,Felipe II (†1598),muerte,murió,diario,,cuerpo del diario,"juegos cortesanos (en 1611 Matías había vencido a Rodolfo II, que murió"
25,39,Príncipe don Carlos,muerte,muerte,aparato,,señal aparato: vease,"Carlos, luego su muerte y finalmente la de la reina hicieron saltar por los"
26,39,Príncipe don Carlos,muerte,muerte,diario,,cuerpo del diario,"En verdad26, cuando llegó la notica de la muerte"
27,39,Felipe II (†1598),muerte,moría,diario,,cuerpo del diario,"Y entre tanto, se moría la reina Isabel de Valois y el trono de Felipe II"
28,40,Felipe II (†1598),muerte,murió,diario,,cuerpo del diario,"La ocupó hasta 1606, en que murió"
29,51,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,"eso lugar tras la muerte de Gonzalo Pérez, acaecida el 12 de abril de 1566"
30,54,Felipe II (†1598),ceremonia,difunto,diario,sí,cuerpo del diario,"de nuestro difunto primo el señor Mauricio Cristóbal, el señor Agustín Khevenhüller"
31,54,Felipe II (†1598),muerte,moriría,diario,,cuerpo del diario,Un año más tarde moriría
32,58,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,"de un año emblemático el de la muerte de Felipe II, 1598"
33,63,Emperador/triz (?),muerte,finó,diario,,cuerpo del diario,con sus sobremesas y tres alcatifas [tapetes de mesa finos]
34,65,(general / otros),ceremonia,hachas,diario,,cuerpo del diario,"un escritorio pequeño con papeles, velas y hachas de"
35,65,(general / otros),ceremonia,cera,diario,,cuerpo del diario,cera blanca
36,76,Emperador/triz (?),muerte,muerte,diario,,cuerpo del diario,Pero el acontecimiento más trágico que vivió aquel año fue el de la muerte del Emperador Fernando (Alcalá de
37,78,Emperador Maximiliano II (†1576),muerte,murió,diario,,cuerpo del diario,nació en Viena el 3 de junio de 1540 y murió en Graz
38,78,Príncipe don Carlos,muerte,muerte,aparato,,señal aparato: bne,llegó la noticia de la muerte del Príncipe don Carlos y se suspendió el
