id,fecha,entrada (texto),página,categoría,término (lema),detectado,cita / contexto,Nivel (Rostagno),Tipo,Intención simbólica,Postura del testigo,¿Ruido?,Subtipo rumor,señal evaluativa (auto),notas
1,1571-12-16,16 de diciembre de 1571,20,Sonido y ruido,silencio,silencio,"distancia, el silencio, el alejamiento",,,,,,,,
2,1571-12-16,16 de diciembre de 1571,21,Música,misa,misa,"calles de la Corte del rey católico, o se asiste solemnemente a la Emperatriz viuda en misa",,,,,,,,
3,1571-12-16,16 de diciembre de 1571,23,Metáfora musical (candidatas),concierto,concierto,pendientes de todo la familia Khevenhüller (tres generaciones he conocido en estos años y todo empezó con un concierto de piano de Max en,,,,,,,,
4,1577-12-28,el 28 de diciembre,34,Metáfora musical (candidatas),consonancia,consonancia,"consonancia con el existir de su señora, a la que debió profesar una",,,,,,,,
5,1590-01-05,el 5 de enero de 1590,39,Música,tambor,tambores,sentían con preocupación el redoble de las cajas y tambores en Bélgica,,,,,,,,
6,1600-02-16,16 de febrero,48,Sonido y ruido,silencio,silencio,"asiste a un plúmbeo silencio cuando lo de Inglaterra, en 1588!",,,,,,,,
7,1566-04-12,el 12 de abril de 1566,59,Sonido y ruido,silencio,silencios,"sus silencios, de sus omisiones",,,,,,,,
8,1566-04-12,el 12 de abril de 1566,60,Música,misa,misa,"Él es más de ir a misa, de confesar",,,,,,,,
9,1591-09-18,18 de septiembre de 1591,63,Música,misa,misa,misa con su cáliz,,,,,,,,
10,1591-09-18,18 de septiembre de 1591,63,Música,música,música,blanca y dorada de servicio en diferentes cajas y en una de ellas algunos libros de música eclesiástica para la capilla del dicho Serenísimo,,,,,,,,
11,1591-09-18,18 de septiembre de 1591,63,Sonido y ruido,salva,salva,una salva dorada de plata con ámbar,,,,,,,,
12,1593-04-23,a 23 de abril de 1593,65,Sonido y ruido,arcabuces,arcabuces,"Siete tercios que envía el archiduque Ernesto con cosas para el servicio para el servicio [sic] de su Majestad y de la Majestad de la Emperatriz y del Príncipe nuestro señor en que vienen relojes, arcabuces, arcos",,,,,,,,
13,1569-12-24,el 24 de diciembre de 1569,80,Metáfora musical (candidatas),concertó,concertó,"hipotecada y obligada a los Khevenhülleres, se concertó que pagando el conde de Franquenburg a Bartolomé y Mauricio Khevenhüller",,,,,,,,
14,1622-06-17,a 17 de junio de 1622,83,Sonido y ruido,traca,traça,"referido para el aposento de Corte y labrándola con la traça que diere Juan Gómez de Mora y dentro de dos años y que no la pueda diuidir en dos ni en más partes, le podrá vuestra Magestad haçer",,,,,,,,
15,1576-02-03,el 3 de febrero,87,Música,cantó,Cantó,"Cantó misa en El Escorial el 26 de mayo y Hans le puso casa, según el",,,,,,,,
16,1576-02-03,el 3 de febrero,87,Música,misa,misa,"Cantó misa en El Escorial el 26 de mayo y Hans le puso casa, según el",,,,,,,,
17,1576-05-26,el 26 de mayo,87,Música,laúd,laudes,Esto lo podía escribir el sobrino para laudes de su tío y del linaje,,,,,,,,
18,1614-02-14,el 14 de febrero,100,Sonido y ruido,arcabuces,arcabuces,"cinco arcabuces, siete pistolas, cuatro espadas, una cama de damasco usada, quince cuadros de pinturas, doscientos reales de ruán, veinte y cuatro varas de terciopelo negro y tres mil y quinientos ducados en moneda de oro o plata para el gasto del camino",,,,,,,,
19,1614-02-14,el 14 de febrero,100,Sonido y ruido,arcabuces,arcabuces,"trescientos ducados), cuatro jarros (mil y doscientos ducados), cien cañones de arcabuces y entre",,,,,,,,
20,1614-06-15,el 15 de junio,101,Sonido y ruido,salva,salvas,"salvas el «brasero de plata muy grande, que le traían ocho personas a los hombros ricamente labrado y muy hermoso» y el otro «un gran brasero» y todo cuanto denunció Franz Christoph y que",,,,,,,⟨cand. magnitud: grande⟩,
21,1598-07-07,el 7 de julio de 1598,107,Voz y rumor,rumor,rumores,"En 1600, pocos rumores y chascarrillos corrían por la Corte de Felipe III",,,,,,,⟨cand. magnitud: pocos⟩,
22,1598-07-07,el 7 de julio de 1598,107,Metáfora musical (candidatas),concertó,concertó,Se concertó la cita,,,,,,,,
23,1603-05-31,el 31 de mayo de 1603,110,Voz y rumor,rumor,rumor,Corrió el rumor de,,,,,,,,
24,1605-09-29,29 de septiembre,116,Metáfora musical (candidatas),concierto,concierto,prestaron– y a los que implora que no actúen con rigor contra sus herederos sino con «conformidad de concierto»,,,,,,,,
25,1605-04-16,a 16 de abril,120,Música,misa,misa,"Además, fundaba una capellanía para dos capellanes de buena ciencia y conciencia y fama, que dirían turnándose todos los días perpetuamente una misa, así como que habría misa en la víspera y al día siguiente de San Juan, oficiada por tres curas, el titular de la parroquia del",,,,,,,,
26,1605-04-16,a 16 de abril,120,Música,misa,misa,"Además, fundaba una capellanía para dos capellanes de buena ciencia y conciencia y fama, que dirían turnándose todos los días perpetuamente una misa, así como que habría misa en la víspera y al día siguiente de San Juan, oficiada por tres curas, el titular de la parroquia del",,,,,,,,
27,1605-04-16,a 16 de abril,120,Música,música,música,"entierro y dos capellanes, todo lo cual se habría de hacer con «solemnidad y con música de canto de órgano y ministriles y los cantores sean",,,,,,,,
28,1605-04-16,a 16 de abril,120,Música,canto de órgano,canto de órgano,"entierro y dos capellanes, todo lo cual se habría de hacer con «solemnidad y con música de canto de órgano y ministriles y los cantores sean",,,,,,,,
29,1605-04-16,a 16 de abril,120,Música,cantó,canto,"entierro y dos capellanes, todo lo cual se habría de hacer con «solemnidad y con música de canto de órgano y ministriles y los cantores sean",,,,,,,,
30,1605-04-16,a 16 de abril,120,Música,órgano,órgano,"entierro y dos capellanes, todo lo cual se habría de hacer con «solemnidad y con música de canto de órgano y ministriles y los cantores sean",,,,,,,,
31,1605-04-16,a 16 de abril,120,Música,ministril,ministriles,"entierro y dos capellanes, todo lo cual se habría de hacer con «solemnidad y con música de canto de órgano y ministriles y los cantores sean",,,,,,,⟨cand. evaluativa: diestros⟩,
32,1605-04-16,a 16 de abril,120,Música,cantor,cantores,"entierro y dos capellanes, todo lo cual se habría de hacer con «solemnidad y con música de canto de órgano y ministriles y los cantores sean",,,,,,,⟨cand. evaluativa: diestros⟩,
33,1605-04-16,a 16 de abril,120,Música,responso,responso,"acabada la fiesta, se rezaría un responso",,,,,,,,
34,1605-04-16,a 16 de abril,120,Música,misa,misa,Aprovechando la misa y toda esta,,,,,,,,
35,1605-04-16,a 16 de abril,121,Música,música,música,"para la fiesta de San Juan con música y ministriles, sacerdotes y misa, 7",,,,,,,,
36,1605-04-16,a 16 de abril,121,Música,ministril,ministriles,"para la fiesta de San Juan con música y ministriles, sacerdotes y misa, 7",,,,,,,,
37,1605-04-16,a 16 de abril,121,Música,misa,misa,"para la fiesta de San Juan con música y ministriles, sacerdotes y misa, 7",,,,,,,,
38,1605-04-16,a 16 de abril,121,Música,misa,misa,"por ejemplo, conseguir del papa que de cada misa dada se saque un alma del Purgatorio",,,,,,,,
39,1605-04-16,a 16 de abril,121,Música,misa,misas,Luego pedía las misas para el día de su fallecimiento y mil misas en,,,,,,,,
40,1605-04-16,a 16 de abril,121,Música,misa,misas,Luego pedía las misas para el día de su fallecimiento y mil misas en,,,,,,,,
41,1608-01-19,El 19 de enero de 1608,123,Música,letanía,letanía,No voy a repetir una vez más una letanía de números y sumas,,,,,,,,
42,1608-01-19,El 19 de enero de 1608,123,Música,misa,misas,"misas, 46",,,,,,,,
43,1606-05-18,El 18 de mayo de 1606,129,Sonido y ruido,salva,salvas,"23 medianos, 12 platillos hondos, 23 platos trincheos, 2 barquillos, bernegal, 3 jarrillos, 2 salvas doradas, 3 frascos, 2 saleros cuadrados, 17 cuchares de plata, confitera de plata, azucarera, cántaro de barbero, una",,,,,,,,
44,1606-05-18,El 18 de mayo de 1606,129,Sonido y ruido,salva,salva,"bacía, 2 candeleros, salva para despabilar, tijeras de hierro plateadas",,,,,,,,
45,1606-05-18,El 18 de mayo de 1606,131,Sonido y ruido,salva,salva,"No podían faltar otras curiosidades, como la «salva dorada con un",,,,,,,,
46,1606-05-23,El 23 de mayo de 1606,135,Música,misa,misa,rellena cinco páginas de ornamentos y útiles para dar misa,,,,,,,,
47,1606-05-23,El 23 de mayo de 1606,135,Música,misa,misa,Un «ara de jaspe» inaugura la relación de los útiles para dar misa,,,,,,,,
48,1606-05-23,El 23 de mayo de 1606,135,Música,misa,misa,"para decir misa, la patena, el cáliz y demás",,,,,,,,
49,1606-05-26,El 26 de mayo,138,Música,letanía,letanía,El 26 de mayo volvieron a empezar con su cansina letanía,,,,,,,,
50,1606-05-26,El 26 de mayo,138,Música,cantó,canto,"muy buena calidad, «de gorgorán negro con pasamano al canto, forrado",,,,,,,,
51,1606-05-27,27 de mayo de 1606,139,Sonido y ruido,arcabuces,arcabuces,"de espadas de Toledo, 5 arcabuces, 1 hacheta, 1 broquel, 1 venablo, 1",,,,,,,,
52,1606-05-27,27 de mayo de 1606,139,Sonido y ruido,arcabuces,arcabuces,"Los arcabuces eran largos, o cortos, con llave de pedernal o",,,,,,,,
53,1606-05-27,27 de mayo de 1606,139,Sonido y ruido,arcabuces,arcabuces,Uno de los arcabuces cortos tenía,,,,,,,,
54,1606-05-27,27 de mayo de 1606,139,Sonido y ruido,arcabuces,arcabuces,"Los arcabuces, por el contrario, eran más selectos",,,,,,,,
55,1606-05-30,El 30 de mayo de 1606,141,Sonido y ruido,campana,campana,ritmos del día y de la noche por tres relojes de campana y tres de pesas,,,,,,,,
56,1606-05-30,El 30 de mayo de 1606,141,Sonido y ruido,campana,campana,"El mayor de los de campana tenía caja de cuero con cantoneras y clavazón dorada, pero estaba quebrado",,,,,,,,
57,1606-05-30,El 30 de mayo de 1606,144,Música,música,música,"Debió ser aficionado a la música, al canto o al solaz con algún instrumento",,,,,,,,
58,1606-05-30,El 30 de mayo de 1606,144,Música,cantó,canto,"Debió ser aficionado a la música, al canto o al solaz con algún instrumento",,,,,,,,
59,1606-05-30,El 30 de mayo de 1606,144,Música,cantó,canto,"Algunos ejemplares de canto, o de órgano, así lo atestiguan",,,,,,,,
60,1606-05-30,El 30 de mayo de 1606,144,Música,órgano,órgano,"Algunos ejemplares de canto, o de órgano, así lo atestiguan",,,,,,,,
61,1606-05-30,El 30 de mayo de 1606,145,Música,cantó,cantos,En 1605 redactó en 20 cantos una historia,,,,,,,,
62,1606-06-06,El 6 de junio de 1606,150,Música,letanía,letanías,de letanías para encuadernarlos,,,,,,,,
63,1606-06-23,El 23 de junio de 1606,154,Sonido y ruido,salva,salvas,"ocho paltos grandes, los veintiuno medianos, pichelillos, salvas, saleros",,,,,,,,
64,1606-06-23,El 23 de junio de 1606,154,Sonido y ruido,campana,campana,Se quedó en Arganda un reloj de campana en una caja grande en,,,,,,,⟨cand. magnitud: grande⟩,
65,1606-05-04,4 de mayo de 1606,158,Música,sonando,sonando,la casa siguieron sonando los tic-tacs de todos los relojes que tenía Hans,,,,,,,,
66,1606-05-04,4 de mayo de 1606,158,Música,sonando,sonando,Algún criado les daría cuerda para que siguieran sonando,,,,,,,,
67,1606-05-04,4 de mayo de 1606,159,Sonido y ruido,bullicio,bullicio,Volvió el bullicio,,,,,,,⟨cand. magnitud: infinitos⟩,
68,1606-07-24,el 24 de julio de 1606,160,Sonido y ruido,silencio,silencios,"y lentas ventas, hasta que llegan nuevos silencios desde el 18 de septiembre de 1606 al 9 de noviembre de 1606 (entre las entradas 516",,,,,,,,
69,1606-12-14,el 14 de diciembre,161,Sonido y ruido,tiro,tiros,"a caballo, con guarnición tacha» y sus tiros y pretinas de cuero",,,,,,,,
70,1606-12-14,el 14 de diciembre,165,Sonido y ruido,arcabuz,arcabuz,"una tortera, un arcabuz, un libro de",,,,,,,,
71,1606-05-27,el 27 de mayo de 1606,169,Sonido y ruido,pregón,pregón,no se conseguía vender («habiendo andado muchos días en pregón»),,,,,,,⟨cand. magnitud: muchos⟩,
72,1616-05-03,el martes 3 de mayo de 1616,171,Música,responso,responso,y encendidas las velas que había alrededor del ataúd le dijeron un solemne responso,,,,,,,⟨cand. evaluativa: solemne⟩,
73,1616-05-04,El 4 de mayo de 1616,172,Música,misa,misa,"Los monjes aceptaron, aunque querían decirle una misa y un responso como era costumbre",,,,,,,,
74,1616-05-04,El 4 de mayo de 1616,172,Música,responso,responso,"Los monjes aceptaron, aunque querían decirle una misa y un responso como era costumbre",,,,,,,,
75,1616-05-04,El 4 de mayo de 1616,172,Música,misa,misa,misa fue cantada con sus diáconos y música,,,,,,,⟨cand. magnitud: muchas⟩,
76,1616-05-04,El 4 de mayo de 1616,172,Música,música,música,misa fue cantada con sus diáconos y música,,,,,,,,
77,1616-05-04,El 4 de mayo de 1616,172,Música,responso,responso,"acabar, hubo un responso cantado también",,,,,,,,
78,1616-05-04,El 4 de mayo de 1616,172,Sonido y ruido,estrépito,estrépito,oyó cierto estrépito y corrieron a ver qué había ocurrido,,,,,,,,
79,1612-09-12,el día 12 de septiembre de 1612,175,Música,misa,misa,Dotóla con una misa,,,,,,,,
80,1612-09-12,el día 12 de septiembre de 1612,175,Música,misa,misas,"misas por él, se dieran limosnas, etc",,,,,,,,
81,1611-03-09,el 9 de marzo de 1611,176,Metáfora musical (candidatas),concierto,concierto,en razón del concierto que por su parte [del convento] se pide se haga,,,,,,,,
82,1611-03-23,el 23 de marzo de 1611,176,Música,misa,misa,"misa diaria por siempre jamás, celebrarían el día de San Juan en su",,,,,,,,
83,1611-03-23,el 23 de marzo de 1611,176,Música,misa,misa,"capilla, celebración que se haría con diácono, subdiácono, misa cantada y música de órgano",,,,,,,,
84,1611-03-23,el 23 de marzo de 1611,176,Música,música,música,"capilla, celebración que se haría con diácono, subdiácono, misa cantada y música de órgano",,,,,,,,
85,1611-03-23,el 23 de marzo de 1611,176,Música,órgano,órgano,"capilla, celebración que se haría con diácono, subdiácono, misa cantada y música de órgano",,,,,,,,
86,1612-09-02,2 de septiembre de 1612,179,Metáfora musical (candidatas),concertado,concertado,"), maestro de cantería y expusieron que como estaba tratado y concertado por los testamentarios",,,,,,,⟨cand. evaluativa: concertado⟩,
87,1600-08-02,En 2 de agosto,183,Metáfora musical (candidatas),concertar,concertar,"concertar para el servicio de su señoría ocho pinturas, las empresas",,,,,,,,
88,1617-03-04,el 4 de marzo de 1617,196,Sonido y ruido,artillería,artillería,"en la disciplina militar y nueua ciencia de la artillería, Madrid",,,,,,,,
89,1617-03-04,el 4 de marzo de 1617,198,Música,sonó,sono,"quelli avertimenti, che sono piu necessarii nel fabricare",,,,,,,,
90,1617-03-04,el 4 de marzo de 1617,199,Sonido y ruido,campana,Campana,Otro intitulado Campana de Roma en italiano de a octavo en,,,,,,,,
91,1606-05-31,el 31 de mayo de 1606,206,Música,canto de órgano,canto de órganos,"Otro grande de canto de órganos, encuadernado en cuero dorado",,,,,,,⟨cand. magnitud: grande⟩,
92,1606-05-31,el 31 de mayo de 1606,206,Música,cantó,canto,"Otro grande de canto de órganos, encuadernado en cuero dorado",,,,,,,⟨cand. magnitud: grande⟩,
93,1606-05-31,el 31 de mayo de 1606,206,Música,órgano,órganos,"Otro grande de canto de órganos, encuadernado en cuero dorado",,,,,,,⟨cand. magnitud: grande⟩,
94,1606-05-31,el 31 de mayo de 1606,206,Música,canto llano,canto llano,Arte de canto llano y contrapunto y canto de órgano,,,,,,,,
95,1606-05-31,el 31 de mayo de 1606,206,Música,cantó,canto,Arte de canto llano y contrapunto y canto de órgano,,,,,,,,
96,1606-05-31,el 31 de mayo de 1606,206,Música,canto de órgano,canto de órgano,Arte de canto llano y contrapunto y canto de órgano,,,,,,,,
97,1606-05-31,el 31 de mayo de 1606,206,Música,cantó,canto,Arte de canto llano y contrapunto y canto de órgano,,,,,,,,
98,1606-05-31,el 31 de mayo de 1606,206,Música,órgano,órgano,Arte de canto llano y contrapunto y canto de órgano,,,,,,,,
99,1606-05-31,el 31 de mayo de 1606,207,Música,música,Música,"Otro, de Música y tecla y otros instrumentos, encuadernado en",,,,,,,,
100,1606-05-31,el 31 de mayo de 1606,207,Música,música,música,"Obras de música para tecla, arpa y vihuela de Antonio de Cabeçón, recopiladas y puestas en cifra por",,,,,,,,
101,1606-05-31,el 31 de mayo de 1606,207,Música,arpa,arpa,"Obras de música para tecla, arpa y vihuela de Antonio de Cabeçón, recopiladas y puestas en cifra por",,,,,,,,
102,1606-05-31,el 31 de mayo de 1606,207,Música,vihuela,vihuela,"Obras de música para tecla, arpa y vihuela de Antonio de Cabeçón, recopiladas y puestas en cifra por",,,,,,,,
103,1606-05-31,el 31 de mayo de 1606,207,Música,música,Música,Música de tecla»,,,,,,,,
104,1606-05-31,el 31 de mayo de 1606,207,Música,canto de órgano,canto de órgano,Otro de canto de órgano grande de Thomé de Victoria encuadernado como el de arriba,,,,,,,⟨cand. magnitud: grande⟩,
105,1606-05-31,el 31 de mayo de 1606,207,Música,cantó,canto,Otro de canto de órgano grande de Thomé de Victoria encuadernado como el de arriba,,,,,,,⟨cand. magnitud: grande⟩,
106,1606-05-31,el 31 de mayo de 1606,207,Música,órgano,órgano,Otro de canto de órgano grande de Thomé de Victoria encuadernado como el de arriba,,,,,,,⟨cand. magnitud: grande⟩,
107,1606-05-31,el 31 de mayo de 1606,207,Música,música,música,«[259] En el maestro Victoria dos libros de música» a un precio bien,,,,,,,,
108,1606-05-31,el 31 de mayo de 1606,208,Música,romance,romance,"Otro, dos libros medicinales, uno en latín y otro en romance",,,,,,,⟨cand. magnitud: grande⟩,
109,1606-05-31,el 31 de mayo de 1606,209,Música,romance,Romances,Romances que andan impressos en las nueue partes de Romanceros,,,,,,,,
110,1606-05-31,el 31 de mayo de 1606,210,Sonido y ruido,campana,Campaña,"César Campaña de la Historia del mundo, en dos cuerpos de a",,,,,,,,
111,1603-04-21,a 21 de Abril de 1603,213,Música,copla,Coplas,Coplas de Florando de Castilla,,,,,,,,
112,1565-11-24,el 24 de noviembre,238,Música,salve,salve,Que Dios salve a S,,,,,,,,
113,1565-12-08,El 8 de diciembre,245,Sonido y ruido,pólvora,pólvora,"artificales por descuido del maestro armero, alcanzando a varios oficiales de la pólvora del mantenedor que quedaron muertos",,,,,,,,
114,1565-12-08,El 8 de diciembre,247,Voz y rumor,rumor,rumor,"el rumor que por el mundo se ha divulgado…» (Madrid, 8-XII-1562, AGS, E-651, 99)",,,,,,,,
115,1565-07-25,El 25 de julio,250,Sonido y ruido,aclam*,aclamado,"Maximiliano de Austria, Rey de Romanos, es aclamado como Maximiliano",,,,,,,,
116,1565-08-02,El 2 de agosto,252,Sonido y ruido,campana,campaña,Dicho hermano estuvo un año en la campaña,,,,,,,,
117,1565-01-13,El 13 de enero de 1565,254,Sonido y ruido,campana,campaña,"manifestada su habilidad marcial con esta campaña victoriosa, escribía sobre él Chantonay que",,,,,,,,
118,1568-12-17,el día 17 de diciembre,256,Sonido y ruido,silencio,silencios,"Los silencios de Hans sobre la traslación del cadáver de Fernando a Praga son, cuando menos, extraños",,,,,,,,
